,file_name,tier_name,text,clean_text,start_time,end_time
0,../transcriptions_annotations/r8/r8.TextGrid,B-utts,{X Oh} das <v='ist'>is'</v> schwer,das is' schwer,660.121810402,660.970118915
1,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Okay,Okay,661.818427428,662.294518941
2,../transcriptions_annotations/r8/r8.TextGrid,B-utts,<laughter> Ja erzähl </laughter>,Ja erzähl,664.268134665,668.329559426
3,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Und nur wir beide wohnen da drin ?,Und nur wir beide wohnen da drin ?,668.667151589,669.861708475
4,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Ja,Ja,671.367888896,671.740105897
5,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Zweihundert Quadratmeter <v='das ist'>das'</v> <v='ein'>'n</v> Wort,Zweihundert Quadratmeter das' 'n Wort,672.649007875,674.163844505
6,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Okay,Okay,675.289151716,675.782555648
7,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Dann leg <v='einmal'>ma'</v> los,Dann leg ma' los,677.627990823,678.346456197
8,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Wie wollen <v='wir es'>wa's</v> angehen?,Wie wollen wa's angehen?,678.692704569,679.56698171
9,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Wollen wir <v='erst einmal'>erstmal</v> abchecken wieviele Zimmer wir machen?,Wollen wir erstmal abchecken wieviele Zimmer wir machen?,681.791627505,683.834492903
10,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Okay,Okay,684.866244403,685.110179478
11,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Wir <v='haben'>ham'</v> Bad Küche Wohnzimmer .. als die drei festgelegten Sachen,Wir ham' Bad Küche Wohnzimmer als die drei festgelegten Sachen,685.110179478,688.692288921
12,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Warte,Warte,690.198469343,691.237214461
13,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Okay,Okay,691.410338647,691.886430159
14,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Ja,Ja,693.576053567,693.896333312
15,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Ein Zimmer für uns,Ein Zimmer für uns,694.320487569,695.44579478
16,../transcriptions_annotations/r8/r8.TextGrid,B-utts,"Wir v=""haben"">ham</v> <v='ein'>'n</v> Wohnzimmer","Wir v=""haben"">ham 'n Wohnzimmer",695.515044454,696.415290223
17,../transcriptions_annotations/r8/r8.TextGrid,B-utts,Wir könnten noch -,Wir könnten noch -,697.59253469,698.371593529
18,../transcriptions_annotations/r8/r8.TextGrid,B-utts,{X Oh Gott},,699.801530657,700.416121519
