,file_name,tier_name,text,clean_text,start_time,end_time
549,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<v='ist'>is'</v> die Frage wie reagiert er dann da drauf ... wenn <v='er es'>er's</v> merkt?,is' die Frage wie reagiert er dann da drauf wenn er's merkt?,568.580855439,571.556569892
550,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughter/>,,575.776821979,577.192037739
551,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughterOffset/>,,577.23166378,577.826054399
552,../transcriptions_annotations/r19/r19.TextGrid,B-utts,{F ähm },,577.858509162,578.124569725
553,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Stimmt,Stimmt,584.167952737,584.751021631
554,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughter/>,,585.01142133,585.707707484
555,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughterOffset/>,,585.911498554,586.449280543
556,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Na ja,Na ja,586.834219229,587.39464467
557,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughter/>,,594.719027603,595.392670305
558,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<laughter/>,,596.507860324,598.149090516
559,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja,Ja,598.200038283,598.551011792
560,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja,Ja,598.647246463,599.043506876
561,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Aber soll er dann irgendwie { weiß <v='nicht'>nich'</v> }... beschämt drauf reagieren als wenn ihm das mega peinlich <v='ist'>is'</v> oder soll er irgendwie noch total .. locker sein und sagen ja das <v='ist'>is'</v> meine Freundin so eine hätten <v='Sie'>'se</v> bestimmt auch gerne und -,Aber soll er dann irgendwie beschämt drauf reagieren als wenn ihm das mega peinlich is' oder soll er irgendwie noch total locker sein und sagen ja das is' meine Freundin so eine hätten 'se bestimmt auch gerne und -,599.735376749,609.918684591
562,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Weiß <v='nicht'>nich'</v> dann einfach <p>d- so die coole Sau rauslassen und das einfach dann -,Weiß nich' dann einfach d- so die coole Sau rauslassen und das einfach dann -,610.289085045,613.125177428
563,../transcriptions_annotations/r19/r19.TextGrid,B-utts,aha,aha,615.244715065,615.499453902
564,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja,Ja,618.935597767,619.343179906
565,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<nv/>,,624.367870652,624.650913804
566,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja,Ja,624.786774517,625.256626149
567,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Weil dann -,Weil dann -,625.307573917,625.771764686
568,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<nv/>,,626.575607238,626.649198457
569,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja stimmt,Ja stimmt,626.683067591,627.373692881
570,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Aber es wär noch mal die überraschung dass der langweilige Professor auf einmal dann wirklich cool reagieren kann,Aber es wär noch mal die überraschung dass der langweilige Professor auf einmal dann wirklich cool reagieren kann,628.710618555,632.214692777
571,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ey wenn das so einer is so { weiß <v='nicht'>nich'</v> } so einer <unclear/> . schön zottelig . <p>d- <p>tz- weißt du so so so { keine Ahnung } so'n richtig . <unclear/> Typ . so,Ey wenn das so einer is so so einer schön zottelig d- tz- weißt du so so so so'n richtig Typ so,635.337719617,643.094035922
572,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<nv type='breathing'/>,,643.094035922,643.382288888
573,../transcriptions_annotations/r19/r19.TextGrid,B-utts,{X Ah },,644.016305548,644.350296468
574,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Und wenn der auf einmal so richtig . megacool drauf <v='ist'>is'</v> . dann wären die . Studenten auch alle . mega überrascht,Und wenn der auf einmal so richtig megacool drauf is' dann wären die Studenten auch alle mega überrascht,644.452192002,649.691127331
575,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja,Ja,652.665589004,652.971275608
576,../transcriptions_annotations/r19/r19.TextGrid,B-utts,hm:,hm,654.522352081,655.077116658
577,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<nv type='breathing'/>,,659.107136627,659.82040537
578,../transcriptions_annotations/r19/r19.TextGrid,B-utts,<nv/>,,662.7976325,662.865562856
579,../transcriptions_annotations/r19/r19.TextGrid,B-utts,Ja eben (dass er <unclear/> dann . + dass er schon irgendwie ) sein <p><m='Ge-'>Gew-</m></p> . <p>-sicht</p> dann irgendwie wahrt,Ja eben dass er dann dass er schon irgendwie sein Gew- -sicht dann irgendwie wahrt,663.019821374,666.723119163
