,file_name,tier_name,text,clean_text,start_time,end_time
0,../transcriptions_annotations/r9/r9.TextGrid,B-utts,(Kann <p='unsere'>un-</p> + kann die) Wohnung <v='nicht'>nich</v> so aufgebaut sein wie unsere Wg ?,Kann un- kann die Wohnung nich so aufgebaut sein wie unsere Wg ?,699.205036897,701.735012299
1,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter/> <laughter> Das passt doch </laughter>,Das passt doch,701.821589404,703.735905393
2,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Ja die Zimmer <v='ein'>'n</v> bisschen größer,Ja die Zimmer 'n bisschen größer,705.679096784,706.977528181
3,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter/>,,710.292953642,712.341945128
4,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Ja,Ja,719.465584542,719.863770171
5,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<v='Ist'>Is'</v> riesig,Is' riesig,721.033893703,721.870805718
6,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Mhm,Mhm,722.592281593,722.871252265
7,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Ja (wie + wie ) ? -,Ja wie wie ? -,726.407721518,727.109958036
8,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Sollen da zwei Leute nur drin wohnen ?,Sollen da zwei Leute nur drin wohnen ?,730.861632587,732.390967643
9,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Okay,Okay,734.051793419,734.523157658
10,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter> Ja weiß <v='nicht'>nich</v> </laughter>,Ja weiß nich,734.98083682,738.391383291
11,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter/>,,750.34893354,751.543490426
12,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Okay also zwei Leute,Okay also zwei Leute,751.802574876,752.956936276
13,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Mhm,Mhm,754.563422558,754.871252265
14,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter> Sehr geil </laughter>,Sehr geil,755.135817292,756.849746737
15,../transcriptions_annotations/r9/r9.TextGrid,B-utts,{F ähm},,758.340383769,759.041430286
16,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Ja wenn wir reinkommen,Ja wenn wir reinkommen,759.658279701,761.021224875
17,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Soll da <v='ein'>'n</v> Flur sein ?,Soll da 'n Flur sein ?,761.298223574,762.137875877
18,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Wie groß soll der Flur sein ?,Wie groß soll der Flur sein ?,764.031660969,765.080205907
19,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Lang ?,Lang ?,769.707271186,770.09205832
20,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Was heißt lang für dich?,Was heißt lang für dich?,773.725686469,774.764431587
21,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter/>,,777.465168894,777.577699615
22,../transcriptions_annotations/r9/r9.TextGrid,B-utts,<laughter/>,,787.29039866,788.008864033
23,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Mhm,Mhm,798.614383038,798.995256248
24,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Okay,Okay,799.930126854,800.371593529
25,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Ja,Ja,801.238877052,801.507219541
26,../transcriptions_annotations/r9/r9.TextGrid,B-utts,Mhm,Mhm,802.416121519,802.719088845
