,file_name,tier_name,text,clean_text,start_time,end_time
0,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,6.65136581583,7.6674824613
1,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,9.94953468219,10.1500946718
2,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,13.5778472221,27.9634682973
3,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,39.0062639661,39.4620821243
4,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,44.8226075417,46.440762017
5,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,49.2049120188,49.779242903
6,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,56.5723653402,57.1740453141
7,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,73.8236503566,78.8376501391
8,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,80.9148656154,88.9946969302
9,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,94.9906604047,97.4384039349
10,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,98.9627279164,100.617347845
11,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,105.764967336,107.538099987
12,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,117.142552068,123.205115158
13,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,170.626061267,182.934824506
14,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,185.188012987,187.938028327
15,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,189.469577351,198.655745759
16,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,200.439426595,201.542506547
17,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,203.339338488,210.802514243
18,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,214.363886531,217.581962755
19,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,223.61685705,300.757779637
20,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,313.373511707,316.719217017
21,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,325.150152806,346.19644929
22,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,356.051237954,356.43412521
23,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,369.126700256,379.783728884
24,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,381.555168857,402.403347965
25,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,404.091629374,410.043481337
26,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,412.390953121,415.123483042
27,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,432.154754458,434.976537869
28,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,437.861801293,440.971942132
29,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,445.886586457,451.880301585
30,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,456.397319977,458.230449346
31,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,469.660598431,475.39970307
32,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,488.583355952,489.153205156
33,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,516.228433604,516.784551503
34,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,520.22700727,520.776259515
35,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,523.178656252,530.46253283
36,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,535.178655162,582.78026565
37,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,592.521375915,602.598991329
38,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,606.930636469,607.507351327
39,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,617.541196361,623.70927841
40,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,636.194061155,639.015844565
41,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,645.625140162,667.194696176
42,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,921.105097828,921.729872257
43,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,924.880625689,932.494053615
44,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,954.358831472,961.711364581
45,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,968.672555465,969.55822471
46,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,972.187769835,991.416138153
47,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,994.347772013,995.370754319
48,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,1012.91552387,1020.27492263
49,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,1024.36627053,1024.92238843
50,../transcriptions_annotations/r16/r16.TextGrid,B-turns,B,B,1028.36149929,1034.41642397
