,text,pos_tag,session,tier_name,start_time,end_time
102,auf,ADP,r1A,ORT-MAU,677.854896,677.974896
103,der,DET,r1A,ORT-MAU,677.974896,678.094896
104,einen,DET,r1A,ORT-MAU,678.094896,678.254896
105,Seite,NOUN,r1A,ORT-MAU,678.254896,678.584896
106,die,DET,r1A,ORT-MAU,678.684896,678.794896
107,Küche,NOUN,r1A,ORT-MAU,678.794896,679.054896
108,und,CCONJ,r1A,ORT-MAU,679.054896,679.124896
109,auf,ADP,r1A,ORT-MAU,679.124896,679.244896
110,der,DET,r1A,ORT-MAU,679.244896,679.484896
111,anderen,PRON,r1A,ORT-MAU,679.484896,680.764896
112,Seite,NOUN,r1A,ORT-MAU,680.764896,681.074896
113,das,PRON,r1A,ORT-MAU,681.074896,681.194896
114,Wohnzimmer,PROPN,r1A,ORT-MAU,681.194896,681.644896
115,ist,AUX,r1A,ORT-MAU,681.644896,681.827083
116,ja,ADV,r1A,ORT-MAU,683.601604,683.809354
117,doch,CCONJ,r1A,ORT-MAU,691.410167,691.567292
118,man,PRON,r1A,ORT-MAU,691.567292,691.707292
119,kann,AUX,r1A,ORT-MAU,691.707292,691.847292
120,ja,ADV,r1A,ORT-MAU,691.847292,691.947292
121,noch,ADV,r1A,ORT-MAU,691.947292,692.127292
122,mal,ADV,r1A,ORT-MAU,692.127292,692.347292
123,n,X,r1A,ORT-MAU,692.347292,692.427292
124,paar,DET,r1A,ORT-MAU,692.497292,692.737292
125,D-,X,r1A,ORT-MAU,692.927292,693.017292
126,Durchgänge,NOUN,r1A,ORT-MAU,693.017292,693.497292
127,bauen,VERB,r1A,ORT-MAU,693.497292,693.767292
128,also,ADV,r1A,ORT-MAU,694.597313,696.324438
129,ach,X,r1A,ORT-MAU,702.107771,702.177771
130,so,ADV,r1A,ORT-MAU,702.177771,702.367771
131,ja,ADV,r1A,ORT-MAU,702.367771,702.497771
132,ja,ADV,r1A,ORT-MAU,702.497771,702.757771
133,gut,ADV,r1A,ORT-MAU,702.757771,703.027771
134,okay,ADV,r1A,ORT-MAU,703.027771,703.397771
135,ja,ADV,r1A,ORT-MAU,703.397771,703.5755
136,ach,X,r1A,ORT-MAU,722.80425,722.921375
137,so,ADV,r1A,ORT-MAU,722.921375,723.021375
138,mei-,X,r1A,ORT-MAU,723.021375,723.211375
139,ja,ADV,r1A,ORT-MAU,723.211375,723.470792
140,ja,ADV,r1A,ORT-MAU,723.721813,723.877625
141,ja,ADV,r1A,ORT-MAU,726.908958,727.315812
142,ja,ADV,r1A,ORT-MAU,727.402375,727.592813
143,ja,ADV,r1A,ORT-MAU,730.900625,731.160625
144,ich,PRON,r1A,ORT-MAU,731.220625,731.370625
145,glaub,ADV,r1A,ORT-MAU,731.370625,731.580625
146,ich,PRON,r1A,ORT-MAU,731.580625,731.610625
147,da,ADV,r1A,ORT-MAU,733.106813,733.193937
148,n,X,r1A,ORT-MAU,733.193937,733.223938
149,Zimmer,NOUN,r1A,ORT-MAU,733.223938,733.523937
150,da,ADV,r1A,ORT-MAU,733.523937,733.743938
151,da,ADV,r1A,ORT-MAU,733.743938,734.073938
152,und,CCONJ,r1A,ORT-MAU,734.073938,734.103938
153,dann,ADV,r1A,ORT-MAU,734.103938,734.413937
154,da,ADV,r1A,ORT-MAU,734.413937,734.683937
155,ja,ADV,r1A,ORT-MAU,734.683937,734.933937
156,ja,ADV,r1A,ORT-MAU,735.376396,735.503521
157,ja,ADV,r1A,ORT-MAU,737.064354,737.281479
158,doch,CCONJ,r1A,ORT-MAU,737.445229,737.678958
159,ja,ADV,r1A,ORT-MAU,737.817458,737.99925
160,ja,ADV,r1A,ORT-MAU,739.49675,739.683875
161,also,ADV,r1A,ORT-MAU,745.246146,745.363271
162,ich,PRON,r1A,ORT-MAU,745.363271,745.563271
163,würde,AUX,r1A,ORT-MAU,745.563271,745.883271
164,schon,ADV,r1A,ORT-MAU,745.983271,746.573271
165,gerne,ADV,r1A,ORT-MAU,746.683271,746.973271
166,n,X,r1A,ORT-MAU,746.973271,747.033271
167,großes,ADJ,r1A,ORT-MAU,747.033271,747.303271
168,Zimmer,NOUN,r1A,ORT-MAU,747.403271,747.573271
169,haben,AUX,r1A,ORT-MAU,747.573271,747.843021
170,ja,ADV,r1A,ORT-MAU,748.985625,749.16275
